Abbreviation,Region,Structure,Hemisphere,Index,Xmm,Ymm,Zmm,Number_of_Voxels,Volume_mm3
f2_1,inferior frontal sulcus (1),Cortical,Right,30,46.38,39.59,9.88,281,2248
f2_2,inferior frontal sulcus (2),Cortical,Left,31,-43.11,14.84,29.41,1116,8928
f2_2,inferior frontal sulcus (2),Cortical,Right,32,43.94,18.51,28.38,1138,9104
F3t,Inferior Frontal Gyrus : Pars Triangularis,Cortical,Left,33,-49.44,25.56,4.68,1289,10312
F3t,Inferior Frontal Gyrus : Pars Triangularis,Cortical,Right,34,49.83,28.54,5.02,967,7736
F1O,Superior Orbito-Frontal Gyrus,Cortical,Left,35,-12.43,52.19,-20.1,421,3368
F1O,Superior Orbito-Frontal Gyrus,Cortical,Right,36,12.46,50.19,-21,389,3112
F2O1,Middle Orbito-Frontal Gyrus (1),Cortical,Left,37,-35.01,56.82,-7.71,105,840
F2O1,Middle Orbito-Frontal Gyrus (1),Cortical,Right,38,36.48,56.7,-6.21,178,1424
F2O2,Middle Orbito-Frontal Gyrus (2),Cortical,Left,39,-41.05,48.99,-5.31,505,4040
F2O2,Middle Orbito-Frontal Gyrus (2),Cortical,Right,40,39.72,50.22,-4.43,370,2960
F3O1,Inferior Frontal Gyrus : Pars Orbitalis (1),Cortical,Left,41,-42.18,30.53,-16.87,180,1440
F3O1,Inferior Frontal Gyrus : Pars Orbitalis (1),Cortical,Right,42,44.22,33.02,-14.43,264,2112
F3O2,Inferior Frontal Gyrus : Pars Orbitalis (2),Cortical,Left,43,-21.25,22.59,-20.74,557,4456
F3O2,Inferior Frontal Gyrus : Pars Orbitalis (2),Cortical,Right,44,21.03,22.38,-19.69,509,4072
orb1,orbital sulcus (1),Cortical,Left,45,-24.97,38.57,-14.99,278,2224
orb1,orbital sulcus (1),Cortical,Right,46,25.82,41.49,-14.91,370,2960
orb2,orbital sulcus (2),Cortical,Left,47,-31.14,33.93,-13.17,225,1800
orb2,orbital sulcus (2),Cortical,Right,48,29.18,34.31,-12.77,244,1952
olf,olfactory sulcus,Cortical,Left,49,-5.53,38.8,-23.45,470,3760
olf,olfactory sulcus,Cortical,Right,50,5.54,37.9,-23.47,477,3816
prec1,precentral sulcus (1),Cortical,Left,51,-49.74,6.14,25.67,250,2000
prec1,precentral sulcus (1),Cortical,Right,52,50.21,9.65,24.23,337,2696
prec2,precentral sulcus (2),Cortical,Left,53,-25.24,-8.47,58.87,336,2688
prec2,precentral sulcus (2),Cortical,Right,54,26.06,-7.72,58.05,309,2472
prec3,precentral sulcus (3),Cortical,Left,55,-18.19,-8.7,69.3,74,592
prec3,precentral sulcus (3),Cortical,Right,56,19.75,-6.35,67.7,40,320
prec4,precentral sulcus (4),Cortical,Left,57,-42.18,0.72,49.91,766,6128
prec4,precentral sulcus (4),Cortical,Right,58,43.66,1,48.36,540,4320
prec5,precentral sulcus (5),Cortical,Left,59,-56.11,4.79,30.58,146,1168
prec5,precentral sulcus (5),Cortical,Right,60,56.95,8.04,28.78,147,1176
prec6,precentral sulcus (6),Cortical,Left,61,-29.77,-11.18,64.68,151,1208
prec6,precentral sulcus (6),Cortical,Right,62,30.91,-9.8,64.17,119,952
rol1,Rolandic fissure (1),Cortical,Left,63,-54.26,-8.37,31.99,1167,9336
rol1,Rolandic fissure (1),Cortical,Right,64,55.4,-5.2,31.14,1101,8808
rol2,Rolandic fissure (2),Cortical,Left,65,-43.58,-13.72,50.62,416,3328
rol2,Rolandic fissure (2),Cortical,Right,66,44.72,-10.92,48.62,338,2704
rol3,Rolandic fissure (3),Cortical,Left,67,-38.76,-23.13,61.44,1136,9088
rol3,Rolandic fissure (3),Cortical,Right,68,36.83,-20.18,60.01,1148,9184
rol4,Rolandic fissure (4),Cortical,Left,69,-23.14,-28.85,65.34,1110,8880
rol4,Rolandic fissure (4),Cortical,Right,70,22.07,-27.33,65.41,733,5864
post1,postcentral sulcus (1),Cortical,Left,71,-57.52,-17.78,31.75,194,1552
post1,postcentral sulcus (1),Cortical,Right,72,58.27,-15,32.29,234,1872
post2,postcentral sulcus (2),Cortical,Left,73,-40.8,-33.45,54.73,558,4464
post2,postcentral sulcus (2),Cortical,Right,74,40.89,-29.91,52.31,756,6048
post3,postcentral sulcus (3),Cortical,Left,75,-43.01,-32.84,44.1,587,4696
post3,postcentral sulcus (3),Cortical,Right,76,47.97,-25.97,42.54,145,1160
P1_1,Superior Parietal Gyrus (1),Cortical,Left,77,-23.63,-47.32,60.09,65,520
P1_1,Superior Parietal Gyrus (1),Cortical,Right,78,23.5,-46.83,62.89,121,968
P1_2,Superior Parietal Gyrus (2),Cortical,Left,79,-18.6,-46.92,67.53,209,1672
P1_2,Superior Parietal Gyrus (2),Cortical,Right,80,19.9,-44.91,67.12,232,1856
P1_3,Superior Parietal Gyrus (3),Cortical,Left,81,-29.6,-51.22,66.56,262,2096
P1_3,Superior Parietal Gyrus (3),Cortical,Right,82,28.97,-48.93,67.51,148,1184
P1_4,Superior Parietal Gyrus (4),Cortical,Left,83,-24.83,-53.98,56.64,223,1784
P1_4,Superior Parietal Gyrus (4),Cortical,Right,84,25.51,-51.19,56.61,284,2272
P1_5,Superior Parietal Gyrus (5),Cortical,Left,85,-16.02,-61.32,61.46,447,3576
P1_5,Superior Parietal Gyrus (5),Cortical,Right,86,15.16,-57.86,62.38,292,2336
SMG1,Supramarginal Gyrus (1),Cortical,Left,87,-54.47,-29.51,21.37,279,2232
SMG1,Supramarginal Gyrus (1),Cortical,Right,88,54.51,-26.41,22.05,367,2936
SMG2,SupraMarginal Gyrus (2),Cortical,Left,89,-58.95,-29.15,25.89,243,1944
SMG2,SupraMarginal Gyrus (2),Cortical,Right,90,58.72,-26.76,29.19,348,2784
SMG3,Supramarginal Gyrus (3),Cortical,Left,91,-58.63,-27.42,36.65,306,2448
SMG3,Supramarginal Gyrus (3),Cortical,Right,92,59.86,-23.09,38.5,205,1640
SMG4,Supramarginal Gyrus (4),Cortical,Left,93,-59.11,-37.91,37.03,329,2632
SMG4,Supramarginal Gyrus (4),Cortical,Right,94,60.16,-35.41,38.01,270,2160
SMG5,SupraMarginal Gyrus (5),Cortical,Left,95,-57.83,-42.56,29.27,107,856
SMG5,SupraMarginal Gyrus (5),Cortical,Right,96,59.7,-39.83,27.52,178,1424
SMG6,SupraMarginal Gyrus (6),Cortical,Left,97,-53.63,-42.1,46.05,120,960
SMG6,SupraMarginal Gyrus (6),Cortical,Right,98,53.77,-38.15,43.95,133,1064
SMG7,SupraMarginal Gyrus (7),Cortical,Left,99,-55.21,-51.67,25.51,303,2424
SMG7,SupraMarginal Gyrus (7),Cortical,Right,100,55.36,-45.9,33.41,125,1000
AG1,Angular Gyrus (1),Cortical,Left,101,-47.97,-57.21,43.71,597,4776
AG1,Angular Gyrus (1),Cortical,Right,102,50.5,-52.29,42.51,541,4328
AG2,Angular Gyrus (2),Cortical,Left,103,-37.54,-70.44,39.47,519,4152
AG2,Angular Gyrus (2),Cortical,Right,104,44.5,-62.37,36.28,555,4440
AG3,Angular Gyrus (3),Cortical,Left,105,-42.63,-70.64,27.04,308,2464
AG3,Angular Gyrus (3),Cortical,Right,106,47.01,-62.95,24.71,277,2216
P2,Inferior Parietal Gyrus,Cortical,Left,107,-44.91,-52.61,49.77,211,1688
P2,Inferior Parietal Gyrus,Cortical,Right,108,42.73,-53.13,47.59,410,3280
ips1,intraparietal sulcus (1),Cortical,Left,109,-41.4,-42.51,49.11,413,3304
ips1,intraparietal sulcus (1),Cortical,Right,110,40,-40.15,51.1,637,5096
ips2,intraparietal sulcus (2),Cortical,Left,111,-34.12,-58.3,46.21,832,6656
ips2,intraparietal sulcus (2),Cortical,Right,112,37.42,-52.4,48.36,719,5752
ips3,intraparietal sulcus (3),Cortical,Left,113,-26.94,-59.8,44.38,761,6088
ips3,intraparietal sulcus (3),Cortical,Right,114,26.41,-61.67,46.28,771,6168
ios,intraoccipital sulcus,Cortical,Left,115,-23.92,-71.72,32.44,50,400
ios,intraoccipital sulcus,Cortical,Right,116,27.83,-69.38,33.29,48,384
Opole,Occipital Pole,Cortical,Left,117,-21.37,-96.02,-13.74,302,2416
Opole,Occipital Pole,Cortical,Right,118,23.67,-93.07,-12.92,372,2976
Olat1,Lateral Occipital Gyrus (1),Cortical,Left,119,-15.24,-96.85,1.35,356,2848
Olat1,Lateral Occipital Gyrus (1),Cortical,Right,120,17.11,-94.24,3.52,422,3376
Olat2,Lateral Occipital Gyrus (2),Cortical,Left,121,-26.36,-93.63,-0.71,576,4608
Olat2,Lateral Occipital Gyrus (2),Cortical,Right,122,28.07,-89.12,-2.06,674,5392
Olat3,Lateral Occipital Gyrus (3),Cortical,Left,123,-39.57,-84.44,-11.94,145,1160
Olat3,Lateral Occipital Gyrus (3),Cortical,Right,124,43.51,-80.75,-10.49,110,880
Olat4,Lateral Occipital Gyrus (4),Cortical,Left,125,-30.78,-88.66,8.42,485,3880
Olat4,Lateral Occipital Gyrus (4),Cortical,Right,126,33.62,-85.39,8.81,472,3776
Olat5,Lateral Occipital Gyrus (5),Cortical,Left,127,-35.33,-78.75,-0.62,974,7792
Olat5,Lateral Occipital Gyrus (5),Cortical,Right,128,35.61,-75.57,1.65,1015,8120
O1_1,Superior Occipital Gyrus (1),Cortical,Left,129,-15.46,-82.53,34.54,184,1472
O1_1,Superior Occipital Gyrus (1),Cortical,Right,130,18.05,-80.76,37.26,171,1368
O1_2,Superior Occipital Gyrus (2),Cortical,Left,131,-14.09,-90.33,24.95,499,3992
O1_2,Superior Occipital Gyrus (2),Cortical,Right,132,17.04,-87.78,26.47,560,4480
O2_1,Middle Occipital Gyrus (1),Cortical,Left,133,-31.65,-78.1,25.26,509,4072
O2_1,Middle Occipital Gyrus (1),Cortical,Right,134,36.16,-74.47,25.32,516,4128
O2_2,Middle Occipital Gyrus (2),Cortical,Left,135,-36.97,-77.4,14.36,225,1800
O2_2,Middle Occipital Gyrus (2),Cortical,Right,136,41.11,-72.91,12.18,376,3008
O2_3,Middle Occipital Gyrus (3),Cortical,Left,137,-41.73,-71.49,17.95,202,1616
O2_3,Middle Occipital Gyrus (3),Cortical,Right,138,45.07,-63.14,15.12,159,1272
O2_4,Middle Occipital Gyrus (4),Cortical,Left,139,-36.15,-80.02,30.28,363,2904
O2_4,Middle Occipital Gyrus (4),Cortical,Right,140,40.92,-73.87,29.65,498,3984
O3_1,Inferior Occipital Gyrus (1),Cortical,Left,141,-48.42,-68.99,-4.3,139,1112
O3_1,Inferior Occipital Gyrus (1),Cortical,Right,142,49.9,-60.21,-8.76,180,1440
O3_2,Inferior Occipital Gyrus (2),Cortical,Left,143,-44.53,-70.72,-6.68,382,3056
O3_2,Inferior Occipital Gyrus (2),Cortical,Right,144,47.06,-64.73,-7.45,450,3600
INSa1,Anterior Insula (1),Cortical,Left,145,-20.34,4.95,-19.33,252,2016
INSa1,Anterior Insula (1),Cortical,Right,146,19.35,7.05,-19.07,317,2536
INSa2,Anterior Insula (2),Cortical,Left,147,-33.79,16.79,-12.74,399,3192
INSa2,Anterior Insula (2),Cortical,Right,148,34.7,18.47,-12.73,273,2184
INSa3,Anterior Insula (3),Cortical,Left,149,-33.74,23.68,0.58,469,3752
INSa3,Anterior Insula (3),Cortical,Right,150,36.8,24.21,-0.33,721,5768
INSa4,Anterior Insula (4),Cortical,Left,151,-40.75,15.15,2.63,734,5872
INSa4,Anterior Insula (4),Cortical,Right,152,40.81,14.51,4.09,593,4744
INSa5,Anterior Insula (5),Cortical,Left,153,-41.78,-0.93,-8,593,4744
INSa5,Anterior Insula (5),Cortical,Right,154,41.85,1.86,-8.75,591,4728
INSp,Posterior Insula,Cortical,Left,155,-42.08,-19.1,13.71,923,7384
INSp,Posterior Insula,Cortical,Right,156,40.61,-19.46,14.31,858,6864
ROLop1,Rolandic Operculum (1),Cortical,Left,157,-46.26,3.59,9.39,650,5200
ROLop1,Rolandic Operculum (1),Cortical,Right,158,46.1,5.65,9.35,558,4464
ROLop2,Rolandic Operculum (2),Cortical,Left,159,-50.59,-8.96,13.91,550,4400
ROLop2,Rolandic Operculum (2),Cortical,Right,160,49.74,-6.32,13.89,616,4928
T1_1,Superior Temporal Gyrus (1),Cortical,Left,161,-55.47,-1.12,2.3,105,840
T1_1,Superior Temporal Gyrus (1),Cortical,Right,162,55.71,2.1,2.53,136,1088
T1_2,Superior Temporal Gyrus (2),Cortical,Left,163,-45.26,-10.94,-1.62,308,2464
T1_2,Superior Temporal Gyrus (2),Cortical,Right,164,46.53,-7.2,-1.59,307,2456
T1_3,Superior Temporal Gyrus (3),Cortical,Left,165,-52,-27.13,10.92,954,7632
T1_3,Superior Temporal Gyrus (3),Cortical,Right,166,57.27,-19.18,8.83,825,6600
T1_4,Superior Temporal Gyrus (4),Cortical,Left,167,-58.75,-23.25,3.73,832,6656
T1_4,Superior Temporal Gyrus (4),Cortical,Right,168,60.05,-19.98,2.2,729,5832
STS1,superior temporal sulcus (1),Cortical,Left,169,-49.71,14.02,-21.55,326,2608
STS1,superior temporal sulcus (1),Cortical,Right,170,52.12,13.36,-25.86,85,680
STS2,superior temporal sulcus (2),Cortical,Left,171,-54.86,-7.17,-12.75,403,3224
STS2,superior temporal sulcus (2),Cortical,Right,172,54.32,-2.5,-15.5,767,6136
STS3,superior temporal sulcus (3),Cortical,Left,173,-54.68,-33.01,-1.67,629,5032
STS3,superior temporal sulcus (3),Cortical,Right,174,53.05,-31.88,-0.27,641,5128
STS4,superior temporal sulcus (4),Cortical,Left,175,-56.55,-48.37,13.36,642,5136
STS4,superior temporal sulcus (4),Cortical,Right,176,54.61,-45.53,14.61,840,6720
STS5,superior temporal sulcus (5),Cortical,Left,177,-48.12,-58.18,25.79,711,5688
STS5,superior temporal sulcus (5),Cortical,Right,178,51.38,-54.06,21.03,463,3704
T2_1,Middle Temporal Gyrus (1),Cortical,Left,179,-61.21,-11.54,-16.84,364,2912
T2_1,Middle Temporal Gyrus (1),Cortical,Right,180,60.95,-5.47,-21,214,1712
T2_2,Middle Temporal Gyrus (2),Cortical,Left,181,-62.98,-34.34,-12.07,536,4288
T2_2,Middle Temporal Gyrus (2),Cortical,Right,182,63.7,-28.4,-12.8,592,4736
T2_3,Middle Temporal Gyrus (3),Cortical,Left,183,-60.97,-35.03,-4.8,266,2128
T2_3,Middle Temporal Gyrus (3),Cortical,Right,184,62.34,-30.88,-4.71,241,1928
T2_4,Middle Temporal Gyrus (4),Cortical,Left,185,-53.09,-59.39,7.03,496,3968
T2_4,Middle Temporal Gyrus (4),Cortical,Right,186,56.8,-53.22,2.97,269,2152
T3_1,Inferior Temporal Gyrus (1),Cortical,Left,187,-46.57,-15.15,-32.77,936,7488
T3_1,Inferior Temporal Gyrus (1),Cortical,Right,188,45.27,-7.24,-36.53,1021,8168
T3_2,Inferior Temporal Gyrus (2),Cortical,Left,189,-58.55,-26.07,-23.84,629,5032
T3_2,Inferior Temporal Gyrus (2),Cortical,Right,190,57.81,-22.11,-25.18,656,5248
T3_3,Inferior Temporal Gyrus (3),Cortical,Left,191,-56.44,-52.94,-13.71,654,5232
T3_3,Inferior Temporal Gyrus (3),Cortical,Right,192,57.39,-46.33,-13.87,597,4776
T3_4,Inferior Temporal Gyrus (4),Cortical,Left,193,-50.02,-60.63,-7.64,410,3280
T3_4,Inferior Temporal Gyrus (4),Cortical,Right,194,54.06,-57.86,-10.55,226,1808
T3_5,Inferior Temporal Gyrus (5),Cortical,Left,195,-45.09,-63.82,5.5,136,1088
T3_5,Inferior Temporal Gyrus (5),Cortical,Right,196,49.22,-58.33,3.81,138,1104
poleT1_1,Superior Temporal Pole Gyrus (1),Cortical,Left,197,-35.44,10.61,-23.88,363,2904
poleT1_1,Superior Temporal Pole Gyrus (1),Cortical,Right,198,35.51,15.7,-23.94,207,1656
poleT1_2,Superior Temporal Pole Gyrus (2),Cortical,Left,199,-42.68,7.63,-16.25,201,1608
poleT1_2,Superior Temporal Pole Gyrus (2),Cortical,Right,200,43.98,9.24,-16.45,344,2752
poleT2_1,Middle Temporal Pole Gyrus (1),Cortical,Left,201,-45.17,7.21,-33.92,861,6888
poleT2_1,Middle Temporal Pole Gyrus (1),Cortical,Right,202,48.13,8.42,-33.15,411,3288
poleT2_2,Middle Temporal Pole Gyrus (2),Cortical,Left,203,-35.22,8.78,-32.83,46,368
poleT2_2,Middle Temporal Pole Gyrus (2),Cortical,Right,204,34.73,12.52,-33.96,201,1608
poleT2_3,Middle Temporal Pole Gyrus (3),Cortical,Left,205,-25.7,5.92,-37.41,880,7040
poleT2_3,Middle Temporal Pole Gyrus (3),Cortical,Right,206,26.39,6.49,-35.94,993,7944
F1M1,Medial Superior Frontal Gyrus (1),Cortical,Left,207,-7.79,51.61,12.46,381,3048
F1M1,Medial Superior Frontal Gyrus (1),Cortical,Right,208,7.55,52.24,13.42,364,2912
F1M2,Medial Superior Frontal Gyrus (2),Cortical,Left,209,-6.65,53.44,24.7,493,3944
F1M2,Medial Superior Frontal Gyrus (2),Cortical,Right,210,6.7,56.5,25.47,524,4192
F1M3,Medial Superior Frontal Gyrus (3),Cortical,Left,211,-5.33,34.67,43.62,332,2656
F1M3,Medial Superior Frontal Gyrus (3),Cortical,Right,212,5.55,33.21,44.87,376,3008
rost,anterior rostral sulcus,Cortical,Left,213,-7.26,47.2,-3.46,537,4296
rost,anterior rostral sulcus,Cortical,Right,214,6.43,47.4,-3.97,387,3096
F2MO1,Medial Orbito-Frontal Gyrus (1),Cortical,Left,215,-9.53,65.47,-2.33,265,2120
F2MO1,Medial Orbito-Frontal Gyrus (1),Cortical,Right,216,6.55,65,-3.42,253,2024
F2MO2,Medial Orbito-Frontal Gyrus (2),Cortical,Left,217,-5.38,49.03,-11.8,301,2408
F2MO2,Medial Orbito-Frontal Gyrus (2),Cortical,Right,218,4.3,46.78,-12.75,275,2200
SCALL,Subcallosal Gyrus,Cortical,Left,219,-6.37,20.84,-16.04,244,1952
SCALL,Subcallosal Gyrus,Cortical,Right,220,5.89,20.74,-16.33,239,1912
SMA1,Supplementary Motor Area (1),Cortical,Left,221,-6.27,22.25,46.72,161,1288
SMA1,Supplementary Motor Area (1),Cortical,Right,222,5.86,20.55,49,172,1376
SMA2,Supplementary Motor Area (2),Cortical,Left,223,-10.56,18.18,63.12,268,2144
SMA2,Supplementary Motor Area (2),Cortical,Right,224,10.54,18.48,62.88,218,1744
SMA3,Supplementary Motor Area (3),Cortical,Left,225,-7.21,7.64,65.58,527,4216
SMA3,Supplementary Motor Area (3),Cortical,Right,226,6.39,10.05,66.47,275,2200
cing1,cingulate sulcus (1),Cortical,Left,227,-6.91,27.03,29.99,304,2432
cing1,cingulate sulcus (1),Cortical,Right,228,6.95,26.55,30.97,287,2296
cing2,cingulate sulcus (2),Cortical,Left,229,-6.79,15.54,41.57,290,2320
cing2,cingulate sulcus (2),Cortical,Right,230,7.55,13.47,47.27,364,2912
cing3,cingulate sulcus (3),Cortical,Left,231,-7.39,4.53,48.55,395,3160
cing3,cingulate sulcus (3),Cortical,Right,232,7.81,4.69,52.41,493,3944
cing4,cingulate sulcus (4),Cortical,Left,233,-7.83,-6.34,57.43,576,4608
cing4,cingulate sulcus (4),Cortical,Right,234,8.24,-4.67,57.88,538,4304
cing5,cingulate sulcus (5),Cortical,Left,235,-8.46,-16.4,41.65,268,2144
cing5,cingulate sulcus (5),Cortical,Right,236,8.87,-15.98,41.93,268,2144
cing6,cingulate sulcus (6),Cortical,Left,237,-10.78,-35.4,46.02,391,3128
cing6,cingulate sulcus (6),Cortical,Right,238,11.46,-34.04,45.59,374,2992
cing7,cingulate sulcus (7),Cortical,Left,239,-9.29,-41.48,60.42,271,2168
cing7,cingulate sulcus (7),Cortical,Right,240,9.39,-40.68,61.09,298,2384
CINGa1,Anterior Cingulum Gyrus (1),Cortical,Left,241,-5.69,37.33,3.06,431,3448
CINGa1,Anterior Cingulum Gyrus (1),Cortical,Right,242,6.65,39.43,4.52,584,4672
CINGa2,Anterior Cingulum Gyrus (2),Cortical,Left,243,-7.32,34.32,22.06,339,2712
CINGa2,Anterior Cingulum Gyrus (2),Cortical,Right,244,7.29,33.37,22.84,340,2720
CINGm1,Middle Cingulum Gyrus (1),Cortical,Left,245,-3.27,14.27,28.95,44,352
CINGm1,Middle Cingulum Gyrus (1),Cortical,Right,246,3.5,13.95,29.05,40,320
CINGm2,Middle Cingulum Gyrus (2),Cortical,Left,247,-3.7,3.49,29.52,67,536
CINGm2,Middle Cingulum Gyrus (2),Cortical,Right,248,4.13,3.74,29.82,78,624
CINGm3,Middle Cingulum Gyrus (3),Cortical,Left,249,-3.93,-23.65,38.74,213,1704
CINGm3,Middle Cingulum Gyrus (3),Cortical,Right,250,4.55,-24.96,38.83,273,2184
CINGp1,Posterior Cingulum Gyrus (1),Cortical,Left,251,-4.2,-26.02,28.82,166,1328
CINGp1,Posterior Cingulum Gyrus (1),Cortical,Right,252,4.73,-25.9,28.96,195,1560
CINGp2,Posterior Cingulum Gyrus (2),Cortical,Left,253,-4.29,-39.49,27.37,102,816
CINGp2,Posterior Cingulum Gyrus (2),Cortical,Right,254,7.53,-43.02,31.35,211,1688
CINGp3,Posterior Cingulum Gyrus (3),Cortical,Left,255,-5.07,-42.89,10.04,45,360
CINGp3,Posterior Cingulum Gyrus (3),Cortical,Right,256,5.78,-42.38,10.3,73,584
pCENT1,Paracentral Lobule (1),Cortical,Left,257,-6.89,-16.76,50.9,237,1896
pCENT1,Paracentral Lobule (1),Cortical,Right,258,7.68,-14.74,50.06,312,2496
pCENT2,Paracentral Lobule (2),Cortical,Left,259,-10.15,-28.61,65.77,496,3968
pCENT2,Paracentral Lobule (2),Cortical,Right,260,10.9,-26.74,66.43,568,4544
pCENT3,Paracentral Lobule (3),Cortical,Left,261,-7.16,-26,69.51,412,3296
pCENT3,Paracentral Lobule (3),Cortical,Right,262,7.67,-26.74,70.16,419,3352
pCENT4,Paracentral Lobule (4),Cortical,Left,263,-6.39,-29.17,75.9,248,1984
pCENT4,Paracentral Lobule (4),Cortical,Right,264,7.17,-28.66,75.71,225,1800
PRECU1,Precuneus (1),Cortical,Left,265,-11.8,-55.27,13.43,427,3416
PRECU1,Precuneus (1),Cortical,Right,266,12.78,-52.8,13.8,442,3536
PRECU2,Precuneus (2),Cortical,Left,267,-4.98,-56.03,19.11,232,1856
PRECU2,Precuneus (2),Cortical,Right,268,5.01,-55.53,19.8,204,1632
PRECU3,Precuneus (3),Cortical,Left,269,-6.9,-50.87,33.74,558,4464
PRECU3,Precuneus (3),Cortical,Right,270,5.74,-51.85,32.12,397,3176
PRECU4,Precuneus (4),Cortical,Left,271,-6.95,-49.52,45.4,296,2368
PRECU4,Precuneus (4),Cortical,Right,272,7.76,-48.75,43.64,276,2208
PRECU5,Precuneus (5),Cortical,Left,273,-7.67,-54.56,56.22,343,2744
PRECU5,Precuneus (5),Cortical,Right,274,7.18,-50.01,54.18,375,3000
PRECU6,Precuneus (6),Cortical,Left,275,-7.41,-61.26,64.06,276,2208
PRECU6,Precuneus (6),Cortical,Right,276,7.97,-59.91,63.68,305,2440
PRECU7,Precuneus (7),Cortical,Left,277,-5.86,-64.69,35.68,168,1344
PRECU7,Precuneus (7),Cortical,Right,278,7.17,-62.58,36,151,1208
PRECU8,Precuneus (8),Cortical,Left,279,-6.83,-70.82,41.15,369,2952
PRECU8,Precuneus (8),Cortical,Right,280,10.52,-68.47,41.07,381,3048
PRECU9,Precuneus (9),Cortical,Left,281,-10.68,-69.54,49.26,231,1848
PRECU9,Precuneus (9),Cortical,Right,282,12.71,-68.38,50.3,310,2480
pos1,parietooccipital sulcus (1),Cortical,Left,283,-12.02,-55.73,7.56,469,3752
pos1,parietooccipital sulcus (1),Cortical,Right,284,13.11,-54.1,8.5,435,3480
pos2,parietooccipital sulcus (2),Cortical,Left,285,-13.42,-65.08,25.68,130,1040
pos2,parietooccipital sulcus (2),Cortical,Right,286,15.89,-61.43,26.16,158,1264
pos3,parietooccipital sulcus (3),Cortical,Left,287,-10.49,-75.19,36.86,244,1952
pos3,parietooccipital sulcus (3),Cortical,Right,288,14.05,-72.93,37.4,256,2048
pos4,parietooccipital sulcus (4),Cortical,Left,289,-17.98,-59.57,4.08,323,2584
pos4,parietooccipital sulcus (4),Cortical,Right,290,20.61,-59.2,6.36,392,3136
pos5,parietooccipital sulcus (5),Cortical,Left,291,-17.76,-70,19.59,34,272
pos5,parietooccipital sulcus (5),Cortical,Right,292,20.88,-65.58,20.04,52,416
pos6,parietooccipital sulcus (6),Cortical,Left,293,-12.53,-75.32,29.32,177,1416
pos6,parietooccipital sulcus (6),Cortical,Right,294,15.09,-72.51,29.26,178,1424
CU1,Cuneus (1),Cortical,Left,295,-5.22,-82.66,28.38,256,2048
CU1,Cuneus (1),Cortical,Right,296,8.67,-80.07,28.73,200,1600
CU2,Cuneus (2),Cortical,Left,297,-4.14,-91.85,18.7,146,1168
CU2,Cuneus (2),Cortical,Right,298,7.57,-88.51,19.24,144,1152
